Parameter,Description,Units,Rate_Hz,Samples
HDGS,SELECTED HEADING,DEG,1,124
ALTS,SELECTED ALTITUDE LSP,FEET,1,124
SNAP,ERROR,ERROR,ERROR,ERROR
CASS,SELECTED AIRSPEED,KNOTS,1,124
N1CO,ERROR,ERROR,ERROR,ERROR
VSPS,SELECTED VERTICAL SPEED,FT/MIN,1,124
MNS,SELECTED MACH,MMACH,1,124
MSQT_1,ERROR,ERROR,ERROR,ERROR
VMODE,ERROR,ERROR,ERROR,ERROR
LMOD,ERROR,ERROR,ERROR,ERROR
A_T,ERROR,ERROR,ERROR,ERROR
CCPC,CONTROL COLUMN POSITION CAPT,COUNTS,2,248
CCPF,CONTROL COLUMN POSITION F/O,COUNTS,2,248
RUDP,RUDDER PEDAL POSITION,COUNTS,2,248
CWPC,CONTROL WHEEL POSITION CAPT,COUNTS,2,248
CWPF,CONTROL WHEEL POSITION F/O,COUNTS,2,248
OIP_3,OIL PRESSURE 3,PSI,1,124
OIP_4,OIL PRESSURE 4,PSI,1,124
LOC,LOCALIZER DEVIATION,DDM,1,124
GLS,GLIDESLOPE DEVIATION,DDM,1,124
LONP,LONGITUDE POSITION LSP,DEG,1,124
ABRK,AIRBRAKE POSITION,DEG,1,124
AIL_1,AILERON POSITION LH,DEG,1,124
AIL_2,AILERON POSITION RH,DEG,1,124
SPL_1,ROLL SPOILER LEFT,DEG,1,124
SPL_2,ROLL SPOILER RIGHT,DEG,1,124
ESN_4,ENGINE SERIAL NUMBER 4 LSP,UNITS,0.25,31
ECYC_1,ENGINE CYCLE 1 LSP,HOURS,0.25,31
ECYC_2,ENGINE CYCLE 2 LSP,HOURS,0.25,31
ELEV_1,ELEVATOR POSITION LEFT,DEG,1,124
ELEV_2,ELEVATOR POSITION RIGHT,DEG,1,124
FLAP,T.E. FLAP POSITION,COUNTS,1,124
PTRM,PITCH TRIM POSITION,DEG,1,124
HF1,ERROR,ERROR,ERROR,ERROR
HF2,ERROR,ERROR,ERROR,ERROR
SMKB,ERROR,ERROR,ERROR,ERROR
SPLY,ERROR,ERROR,ERROR,ERROR
SPLG,ERROR,ERROR,ERROR,ERROR
FRMC,ERROR,ERROR,ERROR,ERROR
DVER_2,ERROR,ERROR,ERROR,ERROR
ESN_3,ENGINE SERIAL NUMBER 3 LSP,UNITS,0.25,31
BPGR_1,BRAKE PRESSURE LH GREEN,PSI,1,124
BPGR_2,BRAKE PRESSURE RH GREEN,PSI,1,124
BPYR_1,BRAKE PRESSURE LH YELLOW,PSI,1,124
BPYR_2,BRAKE PRESSURE RH YELLOW,PSI,1,124
